"runId","kind","runDir","horizon","folds","embargo","grid","selectedThreshold","trades","netReturnPct","profitFactor","maxDrawdownPct","stressNetReturnPct","stressProfitFactor","score"
"R01","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R01-dev","5","5","5","0.45,0.50,0.55,0.60","0.6","0","0","0","0","0","0","-20"
"R02","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R02-dev","5","6","5","0.40,0.45,0.50,0.55","0.55","47","0.3984","1.0271","-9.943","-1.2466","0.9204","-14.4404"
"R03","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R03-dev","5","5","10","0.45,0.50,0.55,0.60","0.6","0","0","0","0","0","0","-20"
"R04","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R04-dev","3","5","5","0.45,0.50,0.55,0.60","0.6","0","0","0","0","0","0","-20"
"R05","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R05-dev","7","5","5","0.40,0.45,0.50,0.55","0.55","72","-5.2114","0.8236","-15.0426","-7.7314","0.7524","-30.008"
"R06","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R06-dev","10","5","5","0.40,0.45,0.50,0.55","0.45","258","24.0162","1.2052","-37.1156","14.9862","1.1236","-1.8"
"R07","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R07-dev","5","7","10","0.50,0.55,0.60,0.65","0.65","0","0","0","0","0","0","-20"
"R08","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R08-dev","7","6","10","0.45,0.50,0.55,0.60","0.6","3","-0.62","0.4565","-0.7076","-0.725","0.4012","-15.4895"
"R09","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R09-dev","3","6","10","0.50,0.55,0.60,0.65","0.65","0","0","0","0","0","0","-20"
"R10","holdout","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-00-ts001-10run-lab\R10-holdout-final","10","5","5","0.40,0.45,0.50,0.55","0.4","358","64.1456","1.4777","-26.7232","51.6156","1.368","75.9675"
