"runId","variant","kind","runDir","horizon","folds","embargo","grid","selectedThreshold","selectionMode","constraintsSatisfied","gateDecision","gateDataPass","gateStatPass","gateRiskPass","trades","netReturnPct","profitFactor","maxDrawdownPct","stressNetReturnPct","stressProfitFactor","score","error"
"R01","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R01-dev","3","5","5","0.45,0.50,0.55,0.60","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R02","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R02-dev","6","5","5","0.45,0.50,0.55,0.60","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R03","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R03-dev","12","5","5","0.40,0.45,0.50,0.55","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R04","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R04-dev","6","6","5","0.40,0.45,0.50,0.55","0.4","fallback-risk-first","False","REJECT","True","False","False","63","0.0131","1.001","-5.9721","-2.1919","0.8466","-21.6572",
"R05","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R05-dev","6","6","10","0.45,0.50,0.55,0.60","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R06","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R06-dev","12","6","10","0.40,0.45,0.50,0.55","0.4","fallback-risk-first","False","REJECT","True","False","False","63","-5.1216","0.7695","-13.3177","-7.3266","0.6887","-39.1757",
"R07","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R07-dev","18","5","10","0.40,0.45,0.50,0.55","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R08","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R08-dev","24","5","10","0.35,0.40,0.45,0.50","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R09","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\trend-follow-R09-dev","9","7","10","0.45,0.50,0.55,0.60","0","runtime-error","False","REJECT","False","False","False","0","0","0","0","0","0","-999999",""
"R01","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R01-dev","3","5","5","0.45,0.50,0.55,0.60","0.5","fallback-risk-first","False","REJECT","True","False","False","17","-0.55","0.7904","-0.9945","-1.145","0.6116","-19.4459",
"R02","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R02-dev","6","5","5","0.45,0.50,0.55,0.60","0.5","fallback-risk-first","False","REJECT","True","False","False","17","0.0064","1.0019","-1.0464","-0.5886","0.8383","-16.1445",
"R03","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R03-dev","12","5","5","0.40,0.45,0.50,0.55","0.5","fallback-risk-first","False","REJECT","True","False","False","24","2.2418","1.4739","-1.5776","1.4018","1.274","-7.9832",
"R04","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R04-dev","6","6","5","0.40,0.45,0.50,0.55","0.45","fallback-risk-first","False","REJECT","True","False","False","72","-2.5172","0.8336","-6.6564","-5.0372","0.6959","-28.5529",
"R05","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R05-dev","6","6","10","0.45,0.50,0.55,0.60","0.45","fallback-risk-first","False","REJECT","True","False","False","72","-2.5172","0.8336","-6.6564","-5.0372","0.6959","-28.5529",
"R06","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R06-dev","12","6","10","0.40,0.45,0.50,0.55","0.45","fallback-risk-first","False","REJECT","True","False","False","80","-3.3318","0.8679","-13.9329","-6.1318","0.7714","-36.0989",
"R07","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R07-dev","18","5","10","0.40,0.45,0.50,0.55","0.5","fallback-risk-first","False","REJECT","True","False","False","32","4.1562","1.4561","-2.6072","3.0362","1.316","-5.7485",
"R08","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R08-dev","24","5","10","0.35,0.40,0.45,0.50","0.5","fallback-risk-first","False","REJECT","True","False","False","41","1.6697","1.1203","-4.6602","0.2347","1.0161","-15.558",
"R09","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-41-ts003-h4-lab\regime-split-R09-dev","9","7","10","0.45,0.50,0.55,0.60","0.45","fallback-risk-first","False","REJECT","True","False","False","71","-6.4445","0.6731","-10.7799","-8.9295","0.5792","-40.4627",
