"runId","variant","kind","runDir","horizon","folds","embargo","grid","selectedThreshold","selectionMode","constraintsSatisfied","gateDecision","gateDataPass","gateStatPass","gateRiskPass","trades","netReturnPct","profitFactor","maxDrawdownPct","stressNetReturnPct","stressProfitFactor","score"
"R01","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R01-dev","3","5","5","0.45,0.50,0.55,0.60","0.45","fallback-risk-first","False","REJECT","True","False","False","63","0.2703","1.033","-3.6202","-1.9347","0.7932","-19.1782"
"R02","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R02-dev","6","5","5","0.45,0.50,0.55,0.60","0.45","fallback-risk-first","False","REJECT","True","False","False","63","0.0131","1.001","-5.9721","-2.1919","0.8466","-21.6572"
"R03","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R03-dev","12","5","5","0.40,0.45,0.50,0.55","0.45","fallback-risk-first","False","REJECT","True","False","False","63","-5.1216","0.7695","-13.3177","-7.3266","0.6887","-39.1757"
"R04","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R04-dev","6","6","5","0.40,0.45,0.50,0.55","0.45","fallback-risk-first","False","REJECT","True","False","False","63","0.0131","1.001","-5.9721","-2.1919","0.8466","-21.6572"
"R05","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R05-dev","6","6","10","0.45,0.50,0.55,0.60","0.45","fallback-risk-first","False","REJECT","True","False","False","63","0.0131","1.001","-5.9721","-2.1919","0.8466","-21.6572"
"R06","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R06-dev","12","6","10","0.40,0.45,0.50,0.55","0.45","fallback-risk-first","False","REJECT","True","False","False","63","-5.1216","0.7695","-13.3177","-7.3266","0.6887","-39.1757"
"R07","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R07-dev","18","5","10","0.40,0.45,0.50,0.55","0.45","fallback-risk-first","False","REJECT","True","False","False","63","-1.7199","0.9276","-12.5591","-3.9249","0.8432","-30.989"
"R08","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R08-dev","24","5","10","0.35,0.40,0.45,0.50","0.45","fallback-risk-first","False","REJECT","True","False","False","63","-4.4193","0.8315","-13.8767","-6.6243","0.7599","-37.7567"
"R09","trend-follow","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\trend-follow-R09-dev","9","7","10","0.45,0.50,0.55,0.60","0.45","fallback-risk-first","False","REJECT","True","False","False","63","-2.652","0.8423","-8.1693","-4.857","0.7328","-29.6866"
"R01","regime-split","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-45-ts003-h4-lab\regime-split-R01-dev","3","5","5","0.45,0.50,0.55,0.60","0.55","fallback-risk-first","False","REJECT","True","False","False","20","1.6901","1.7001","-0.9945","0.9901","1.3664","-6.4794"
